State_Name,Year,Data.DHS Denominator,Data.Number of Firms,Data.Calculated.Net Job Creation,Data.Calculated.Net Job Creation Rate,Data.Calculated.Reallocation Rate,Data.Establishments.Entered,Data.Establishments.Entered Rate,Data.Establishments.Exited,Data.Establishments.Exited Rate,Data.Establishments.Physical Locations,Data.Firm Exits.Count,Data.Firm Exits.Establishment Exit,Data.Firm Exits.Employments,Data.Job Creation.Births,Data.Job Creation.Continuers,Data.Job Creation.Count,Data.Job Creation.Rate,Data.Job Creation.Rate/Births,Data.Job Destruction.Continuers,Data.Job Destruction.Count,Data.Job Destruction.Deaths,Data.Job Destruction.Rate,Data.Job Destruction.Rate/Deaths,Data.Population,Data.Labor.Force.Percentage,Data.Employment.Percentage,Data.Labor.Force,Data.Employment,Data.Unemployment,Data.Unemployment.Rate
Alabama,1995,1482729,70189,71687,4.835,23.527,10585,12.269,8087,9.373,87525,5770,5909,34751,84471,161634,246105,16.598,5.697,118029,174418,56389,11.763,3.803,3253839,63.5,59.8,2065988,1944909,121079,5.9
Alabama,1996,1517572,71090,18220,1.201,27.929,10527,11.942,8646,9.809,89088,6278,6394,40533,81417,148726,230143,15.165,5.365,140855,211923,71068,13.965,4.683,3284630,63.7,60.4,2091357,1982621,108736,5.2
Alabama,1997,1540732,71682,20433,1.326,31.78,10734,11.981,9765,10.899,90080,6657,6797,47235,97509,167747,265256,17.216,6.329,153697,244823,91126,15.89,5.914,3310672,64.4,61.2,2132295,2027092,105203,4.9
Alabama,1998,1593594,72242,25559,1.604,27.753,10114,11.142,9370,10.322,91149,6456,6627,40196,83577,163119,246696,15.48,5.245,146829,221137,74308,13.877,4.663,3342047,64.1,61.2,2142084,2046338,95746,4.5
Alabama,1999,1612763,72254,12086,0.749,29.374,9693,10.61,9300,10.18,91550,6276,6438,40454,91240,157714,248954,15.436,5.657,155247,236868,81621,14.687,5.061,3361672,64,60.9,2149868,2048492,101376,4.7
Alabama,2000,1638467,71665,31310,1.911,26.992,9228,10.094,9576,10.475,91245,6448,6666,43186,74301,178137,252438,15.407,4.535,141344,221128,79784,13.496,4.869,3378393,63.6,60.6,2147173,2047731,99442,4.6
Alabama,2001,1630384,70630,-42107,-2.583,28.506,9449,10.386,9956,10.944,90721,6415,6716,50871,94044,138336,232380,14.253,5.768,176688,274487,97799,16.836,5.999,3392313,62.7,59.5,2128027,2017467,110560,5.2
Alabama,2002,1596024,70712,-33332,-2.088,32.155,10211,11.198,9818,10.767,91380,6028,6196,49280,99540,157059,256599,16.077,6.237,195500,289931,94431,18.166,5.917,3404450,62.1,58.4,2112621,1987633,124988,5.9
Alabama,2003,1590594,71016,22045,1.386,29.143,9548,10.422,8970,9.791,91905,5913,5989,34222,77748,176067,253815,15.957,4.888,155145,231770,76625,14.571,4.817,3421469,62.2,58.5,2128668,2001568,127100,6
Alabama,2004,1621093,71875,38002,2.344,26.36,9604,10.39,8535,9.233,92972,5615,5693,35817,81383,170276,251659,15.524,5.02,140683,213657,72974,13.18,4.502,3444085,62.1,58.6,2138306,2018783,119523,5.6
Alabama,2005,1661491,72508,39164,2.357,27.242,9736,10.408,8551,9.141,94135,5688,5794,32227,82730,182749,265479,15.978,4.979,159251,226315,67064,13.621,4.036,3477391,61.6,58.8,2140356,2045234,95122,4.4
Alabama,2006,1697801,73342,32578,1.919,27.74,10781,11.331,8763,9.21,96155,5971,6089,35700,103576,164484,268060,15.789,6.101,162475,235482,73007,13.87,4.3,3522273,61.6,59.1,2170007,2083207,86800,4
Alabama,2007,1715601,74206,1139,0.066,29.85,10843,11.178,9069,9.349,97888,5861,6065,36145,91795,165397,257192,14.991,5.351,173448,256053,82605,14.925,4.815,3557957,61.3,58.8,2180448,2092030,88418,4.1
Alabama,2008,1712565,73363,-6518,-0.381,27.517,9032,9.262,9686,9.932,97192,6429,6620,38784,76377,159243,235620,13.758,4.46,158525,242138,83613,14.139,4.882,3591892,60.6,57.1,2176854,2049579,127275,5.8
Alabama,2009,1661888,71195,-105075,-6.323,20.737,7707,8.015,10222,10.63,94905,6880,7072,37745,64346,107967,172313,10.369,3.872,205288,277388,72100,16.691,4.338,3621410,59.6,53.5,2156593,1938784,217809,10.1
Alabama,2010,1589553,69416,-37037,-2.33,22.465,7484,7.967,9199,9.792,93082,6039,6177,31370,61962,116585,178547,11.233,3.898,155185,215584,60399,13.563,3.8,3690247,59.5,53.4,2197028,1968824,228204,10.4
Alabama,2011,1580276,68356,22432,1.419,23.834,7598,8.212,8698,9.401,91975,5491,5776,27865,54519,156231,210750,13.336,3.45,131081,188318,57237,11.917,3.622,3725085,59.1,53.5,2202337,1991379,210958,9.6
Alabama,2012,1588647,68027,-4104,-0.258,25.794,7800,8.488,7911,8.609,91836,4987,5122,30550,58546,146340,204886,12.897,3.685,149588,208990,59402,13.155,3.739,3745693,58.2,53.4,2178508,2000848,177660,8.2
Alabama,2013,1590860,67637,11355,0.714,22.949,7451,8.131,7800,8.512,91461,4868,4955,29649,54251,139649,193900,12.188,3.41,120928,182545,61617,11.475,3.873,3765926,57.7,53.4,2172102,2012828,159274,7.3
Alabama,2014,1597421,67562,7173,0.449,23.041,7463,8.14,7052,7.691,91894,4518,4639,27196,61847,129358,191205,11.97,3.872,129618,184032,54414,11.521,3.406,3783191,57.2,53.4,2164715,2018705,146010,6.7
Alabama,2015,1619135,67480,36384,2.247,20.099,7808,8.469,7222,7.833,92493,4619,4776,27255,64418,134683,199101,12.297,3.979,111640,162717,51077,10.05,3.155,3799373,56.6,53.2,2152295,2020443,131852,6.1
Alabama,2016,1655181,68138,35946,2.172,19.722,7819,8.395,6496,6.975,93799,4287,4402,24665,65226,133938,199164,12.033,3.941,112467,163218,50751,9.861,3.066,3816953,56.5,53.2,2155729,2029157,126572,5.9
Alabama,2017,1683412,68312,27869,1.656,22.989,7616,8.113,7455,7.941,93958,4540,4670,28823,56915,164456,221371,13.15,3.381,134242,193502,59260,11.495,3.52,3889272,56.7,54.1,2203458,2103873,99585,4.5
Alabama,2018,1711108,68300,21117,1.234,21.936,7015,7.477,7232,7.709,93709,4512,4670,26589,60427,148363,208790,12.202,3.531,136955,187673,50718,10.968,2.964,3911655,57.3,55,2240109,2152270,87839,3.9
Alabama,2019,1743230,68797,38321,2.198,19.047,7750,8.226,6758,7.173,94711,4553,4680,26644,60308,144026,204334,11.722,3.46,117229,166013,48784,9.523,2.798,3935788,57.7,55.9,2271835,2199379,72456,3.2
Alabama,2020,1773070,68426,19287,1.088,20.773,7281,7.692,7402,7.82,94591,4745,4895,28039,53772,149677,203449,11.474,3.033,132238,184162,51924,10.387,2.928,3953488,57.2,53.6,2263144,2118600,144544,6.4
Alabama,2021,1754911,69701,-58596,-3.339,20.896,9004,9.451,7637,8.016,95956,4617,4946,25879,61970,121383,183353,10.448,3.531,189918,241949,52031,13.787,2.965,3974037,56.6,54.7,2249514,2173978,75536,3.4
Alabama,2022,1748929,70747,47225,2.7,23.299,9444,9.788,8348,8.652,97034,5454,5703,32690,63411,187558,250969,14.35,3.626,135054,203744,68690,11.65,3.928,3998226,56.9,55.5,2276362,2218627,57735,2.5
Alaska,1978,108365,7117,-904,-0.834,64.938,1907,23.529,1267,15.632,8425,828,834,8888,14266,20919,35185,32.469,13.165,18532,36089,17557,33.303,16.202,255000,71.4,63.8,182114,162630,19484,10.7
Alaska,1979,108725,7320,1083,0.996,48.399,1645,19.275,1462,17.13,8626,947,957,5465,10301,17093,27394,25.196,9.474,16873,26311,9438,24.2,8.681,258167,71.5,65,184638,167898,16740,9.1
Alaska,1980,107807,7308,-3092,-2.868,42.125,1443,16.728,1436,16.646,8630,967,978,4687,8097,14610,22707,21.063,7.511,15971,25799,9828,23.931,9.116,264000,71.5,64.7,188828,170894,17934,9.5
Alaska,1981,112457,7656,12784,11.368,34.867,1655,18.74,1240,14.041,9039,810,815,4008,11843,20546,32389,28.801,10.531,12404,19605,7201,17.433,6.403,273750,72.3,65.7,198021,179812,18209,9.2
Alaska,1982,125277,8099,10238,8.172,44.198,1841,19.787,1313,14.112,9568,874,884,5661,13293,24630,37923,30.271,10.611,18313,27685,9372,22.099,7.481,292417,73,65.7,213405,192037,21368,10
Alaska,1983,133038,9162,5932,4.459,48.335,2528,24.814,1286,12.623,10809,870,888,6462,17156,20928,38084,28.627,12.896,20469,32152,11683,24.168,8.782,319833,72.1,64.8,230474,207216,23258,10.1
Alaska,1984,141966,10244,8623,6.074,41.518,2629,23.074,1471,12.91,11973,1029,1049,6713,15784,22310,38094,26.833,11.118,19426,29471,10045,20.759,7.076,335667,72.5,65.3,243254,219239,24015,9.9
Alaska,1985,149504,10576,6220,4.16,44.248,2416,19.856,2023,16.626,12364,1500,1514,9938,14404,24892,39296,26.284,9.635,18221,33076,14855,22.124,9.936,343250,72.7,65.5,249601,224970,24631,9.9
Alaska,1986,149165,10571,-7229,-4.846,45.979,2303,18.603,2274,18.369,12394,1627,1656,8962,14616,19676,34292,22.989,9.799,25623,41521,15898,27.836,10.658,349917,72.8,64.7,254814,226558,28256,11.1
Alaska,1987,142745,10001,-6225,-4.361,45.508,1918,15.843,2488,20.552,11821,1722,1763,10106,15532,16948,32480,22.754,10.881,22623,38705,16082,27.115,11.266,345500,72.2,64.9,249574,224237,25337,10.2
Alaska,1988,138325,10012,-2344,-1.695,44.239,1953,16.479,1916,16.167,11870,1227,1257,7210,12451,18146,30597,22.12,9.001,18854,32941,14087,23.814,10.184,347000,72.3,66,250991,229051,21940,8.7
Alaska,1989,141309,10318,8010,5.668,34.21,1936,16.016,1534,12.69,12289,1037,1059,4962,12307,19874,32181,22.774,8.709,15506,24171,8665,17.105,6.132,350000,73.7,68.5,257917,239601,18316,7.1
Alaska,1990,152024,10616,12628,8.307,30.339,1859,14.914,1501,12.042,12644,1045,1080,6719,10976,24713,35689,23.476,7.22,13634,23061,9427,15.169,6.201,371967,72.7,67.4,270484,250825,19659,7.3
Alaska,1991,160311,10817,1304,0.813,37.834,1919,14.926,1476,11.481,13078,984,1006,5839,11630,20000,31630,19.73,7.255,21226,30326,9100,18.917,5.676,381591,72.4,66.4,276211,253192,23019,8.3
Alaska,1992,164863,10983,-1403,-0.851,41.433,1813,13.735,1497,11.341,13358,925,943,5314,10516,23638,34154,20.717,6.379,25880,35557,9677,21.568,5.87,394654,72.6,66.1,286421,261028,25393,8.9
Alaska,1993,164541,11294,1500,0.912,33.943,1733,12.858,1487,11.033,13601,895,932,4440,8537,20888,29425,17.883,5.188,19438,27925,8487,16.971,5.158,403384,72.9,67.2,294093,271230,22863,7.8
Alaska,1994,170318,11656,5971,3.506,32.361,1824,13.226,1465,10.622,13971,920,944,4275,11984,21545,33529,19.686,7.036,19118,27558,8440,16.18,4.955,409114,73.5,67.9,300786,277841,22945,7.6
Alaska,1995,174762,12045,3600,2.06,30.583,1883,13.277,1466,10.337,14391,972,1000,4519,10222,20102,30324,17.352,5.849,18643,26724,8081,15.292,4.624,415593,72.8,67.5,302756,280554,22202,7.3
Alaska,1996,176558,12225,1683,0.953,31.702,1839,12.727,1547,10.706,14596,1007,1027,5396,8680,20989,29669,16.804,4.916,17910,27986,10076,15.851,5.707,420657,73.4,67.9,308564,285659,22905,7.4
Alaska,1997,180758,12426,6122,3.387,33.449,1894,12.893,1640,11.164,14817,1044,1056,4784,10163,26190,36353,20.111,5.622,20607,30231,9624,16.725,5.324,423636,73.7,68.6,312264,290602,21662,6.9
Alaska,1998,192082,12714,8874,4.62,29.228,1912,12.71,1626,10.809,15186,1020,1055,4649,12901,24044,36945,19.234,6.716,19244,28071,8827,14.614,4.595,426700,73.9,69.2,315314,295323,19991,6.3
Alaska,1999,196003,12779,872,0.445,28.537,1725,11.316,1604,10.523,15304,1050,1070,4474,8145,20694,28839,14.714,4.156,20018,27967,7949,14.269,4.056,432679,73.6,68.8,318295,297873,20422,6.4
Alaska,2000,202660,12787,10414,5.139,27.873,1768,11.519,1717,11.187,15374,1113,1148,6094,13522,25136,38658,19.075,6.672,17776,28244,10468,13.937,5.165,436112,73.3,68.7,319777,299590,20187,6.3
Alaska,2001,208803,12729,3329,1.594,31.006,1744,11.383,1758,11.474,15314,1020,1049,5210,10819,24881,35700,17.097,5.181,19142,32371,13229,15.503,6.336,443270,72.6,68,321652,301422,20230,6.3
Alaska,2002,212600,12848,1984,0.933,35.656,2138,13.812,1846,11.926,15625,1037,1050,6584,15678,24208,39886,18.761,7.374,25602,37902,12300,17.828,5.786,452064,72.3,67.1,327054,303560,23494,7.2
Alaska,2003,215239,13075,6115,2.841,31.59,1969,12.479,1648,10.445,15939,953,976,4886,14089,26023,40112,18.636,6.546,23535,33997,10462,15.795,4.861,459947,72.3,66.7,332494,306964,25530,7.7
Alaska,2004,220919,13397,5631,2.549,26.883,1941,12.056,1618,10.05,16261,988,1021,4955,9776,25550,35326,15.99,4.425,18767,29695,10928,13.442,4.947,470999,71.6,66.3,337469,312394,25075,7.4
Alaska,2005,223863,13578,7207,3.219,25.719,1918,11.687,1598,9.737,16571,1021,1051,4915,11207,24788,35995,16.079,5.006,21213,28788,7575,12.86,3.384,480222,71.7,66.7,344157,320273,23884,6.9
Alaska,2006,236491,13812,11391,4.817,25.297,2167,12.902,1714,10.205,17022,1128,1149,5086,11658,29645,41303,17.465,4.93,20899,29912,9013,12.648,3.811,490049,71.2,66.5,348756,325672,23084,6.6
Alaska,2007,243528,13844,2913,1.196,32.696,2039,11.927,1858,10.868,17186,1150,1166,4860,14657,28068,42725,17.544,6.019,30439,39812,9373,16.348,3.849,495920,70.6,66.2,350233,328309,21924,6.3
Alaska,2008,245971,13690,2511,1.021,26.855,1821,10.647,1964,11.483,17032,1197,1210,5007,10139,25400,35539,14.448,4.122,24008,33028,9020,13.428,3.667,501689,70.8,66.2,355298,332364,22934,6.5
Alaska,2009,249547,13576,3829,1.534,28.607,1817,10.653,1872,10.975,17029,1078,1114,4982,12424,27099,39523,15.838,4.979,24733,35694,10961,14.304,4.392,511902,70.2,64.6,359379,330718,28661,8
Alaska,2010,252845,13616,1783,0.705,24.947,1729,10.119,1620,9.481,17142,952,970,3874,8650,24671,33321,13.178,3.421,23563,31538,7975,12.473,3.154,518527,69.8,64.1,361707,332185,29522,8.2
Alaska,2011,253952,13625,894,0.352,24.309,1773,10.287,1585,9.196,17329,959,982,3378,10038,21723,31761,12.507,3.953,23211,30867,7656,12.155,3.015,528560,69,63.6,364599,336312,28287,7.8
Alaska,2012,256398,13734,2869,1.119,26.912,1743,10.025,1648,9.479,17434,884,896,3456,10772,26598,37370,14.575,4.201,26623,34501,7878,13.456,3.073,534987,68.1,63.1,364153,337834,26319,7.2
Alaska,2013,261588,13813,7547,2.885,20.832,1758,10.048,1631,9.322,17560,931,949,3355,9928,24866,34794,13.301,3.795,20005,27247,7242,10.416,2.768,538482,67.5,62.8,363544,338104,25440,7
Alaska,2014,264352,13840,809,0.306,27.605,1764,9.994,1586,8.985,17740,949,956,3926,13138,24158,37296,14.108,4.97,25753,36487,10734,13.802,4.06,540373,67.4,62.9,364281,339704,24577,6.7
Alaska,2015,265730,13924,2154,0.811,25.767,1760,9.872,1579,8.857,17918,940,952,4162,10483,25906,36389,13.694,3.945,24867,34235,9368,12.883,3.525,542685,66.8,62.6,362425,339604,22821,6.3
Alaska,2016,266229,14037,-1897,-0.713,26.008,1855,10.291,1645,9.126,18130,989,1011,6338,12040,22580,34620,13.004,4.522,25614,36517,10903,13.716,4.095,546589,66.2,61.9,362017,338193,23824,6.6
Alaska,2017,262508,13995,-3603,-1.373,26.069,1758,9.712,1799,9.939,18080,1031,1047,5089,8551,25665,34216,13.034,3.257,25172,37819,12647,14.407,4.818,546466,66,61.7,360589,337108,23481,6.5
Alaska,2018,261620,14063,-1086,-0.415,24.01,1654,9.148,1636,9.048,18090,936,946,3538,7275,24133,31408,12.005,2.781,23674,32494,8820,12.42,3.371,545700,65.1,61.2,355499,334068,21431,6
Alaska,2019,262684,14125,2467,0.939,21.467,1662,9.189,1563,8.642,18136,955,970,3689,8564,22098,30662,11.673,3.26,20855,28195,7340,10.733,2.794,544905,64.6,61,352029,332197,19832,5.6
Alaska,2020,264194,14115,524,0.198,22.727,1664,9.179,1670,9.212,18125,1004,1029,5160,8381,22164,30545,11.562,3.172,21827,30021,8194,11.363,3.102,544188,63.7,58.4,346552,317678,28874,8.3
Alaska,2021,258363,14463,-13137,-5.085,21.838,1966,10.763,1689,9.247,18404,1028,1048,3669,7713,20498,28211,10.919,2.985,32268,41348,9080,16.004,3.514,545410,64.5,60.3,351520,329147,22373,6.4
Alaska,2022,254758,14652,6225,2.444,26.993,2016,10.909,1844,9.978,18566,1216,1231,4715,9267,31341,40608,15.94,3.638,21337,34383,13046,13.496,5.121,545923,64.8,62,353692,338729,14963,4.2
Arizona,1978,660732,40625,89002,13.47,31.331,9694,20.553,6146,13.031,48940,4295,4384,25566,73061,119448,192509,29.136,11.058,59918,103507,43589,15.666,6.597,1809083,59.9,56.3,1083594,1019132,64462,5.9
Arizona,1979,752147,42647,88536,11.771,28.179,8996,17.883,6527,12.975,51538,4722,4800,25815,67507,127003,194510,25.861,8.975,65495,105974,40479,14.09,5.382,1908083,60.5,57.5,1154948,1096553,58395,5.1
Arizona,1980,809525,44609,23120,2.856,34.809,9081,17.217,6696,12.695,53937,4776,4843,25951,62634,101380,164014,20.261,7.737,92883,140894,48011,17.405,5.931,1991917,61.9,57.8,1232426,1150950,81476,6.6
Arizona,1981,831986,46254,24072,2.893,32.833,9477,17.211,7133,12.954,56235,5216,5298,28033,66412,94244,160656,19.31,7.982,93457,136584,43127,16.417,5.184,2052500,61.9,58.1,1271333,1192666,78667,6.2
Arizona,1982,845609,47226,3093,0.366,37.055,9571,16.761,7885,13.808,57946,5753,5783,31830,65316,94449,159765,18.893,7.724,108763,156672,47909,18.528,5.666,2118000,63.5,57.2,1344759,1210605,134154,10
Arizona,1983,851959,49225,8813,1.034,39.002,10034,16.967,7691,13.005,60309,5204,5273,30505,67282,107670,174952,20.535,7.897,110882,166139,55257,19.501,6.486,2190667,63.4,57.7,1389857,1263574,126283,9.1
Arizona,1984,910953,53081,106839,11.728,27.848,11400,18.273,7303,11.706,64434,5012,5116,27713,85530,148148,233678,25.652,9.389,78034,126839,48805,13.924,5.358,2268833,63.4,60.3,1438991,1367661,71330,5
Arizona,1985,1019796,56109,110223,10.808,32.371,11941,18.071,8666,13.115,67717,6129,6248,43981,101576,173704,275280,26.994,9.96,95800,165057,69257,16.185,6.791,2352667,63.4,59.3,1490450,1395353,95097,6.4
Arizona,1986,1107203,58504,62383,5.634,36.645,12641,18.204,9194,13.24,71164,6581,6657,44462,111104,154145,265249,23.957,10.035,134524,202866,68342,18.322,6.172,2427250,64.6,60.1,1569107,1458776,110331,7
Arizona,1987,1155432,60467,27507,2.381,40.731,13140,18.088,10190,14.027,74120,7114,7193,51972,122433,140386,262819,22.746,10.596,138656,235312,96656,20.366,8.365,2511000,64.2,60,1612643,1507545,105098,6.5
Arizona,1988,1178267,62014,34551,2.932,38.338,12693,16.849,10493,13.928,76435,7353,7471,50159,113764,146650,260414,22.101,9.655,139419,225863,86444,19.169,7.337,2572083,64.6,60.5,1662698,1556022,106676,6.4
Arizona,1989,1212440,62659,37538,3.096,36.206,12083,15.699,11051,14.358,77481,7676,7851,52312,103738,153287,257025,21.199,8.556,130700,219487,88787,18.103,7.323,2618167,65.3,61.9,1710093,1621078,89015,5.2
Arizona,1990,1243024,63534,23630,1.901,35.418,11743,15.039,10565,13.53,78672,7474,7683,48188,97388,146370,243758,19.61,7.835,142427,220128,77701,17.709,6.251,2777098,64.3,60.9,1785713,1691996,93717,5.2
Arizona,1991,1253084,64079,-3482,-0.278,37.441,11867,14.958,10381,13.085,80081,7174,7379,55640,108920,125664,234584,18.721,8.692,151724,238066,86342,18.998,6.89,2854417,63.4,59.7,1808277,1702715,105562,5.8
Arizona,1992,1258467,64947,17732,1.409,35.67,11178,13.898,10318,12.828,80861,6503,6677,42209,93696,148486,242182,19.244,7.445,142855,224450,81595,17.835,6.484,2954322,63.5,58.7,1875439,1733258,142181,7.6
Arizona,1993,1289608,67053,45655,3.54,31.157,11201,13.717,9597,11.753,82460,6180,6350,40959,83543,163016,246559,19.119,6.478,124725,200904,76179,15.579,5.907,3070311,63.2,59.2,1941133,1817831,123302,6.4
Arizona,1994,1366032,69758,97601,7.145,29.652,12832,15.211,9281,11.002,86135,6434,6599,41546,114246,185881,300127,21.971,8.363,122968,202526,79558,14.826,5.824,3214383,65.5,61.4,2105320,1975000,130320,6.2
Arizona,1995,1456625,72476,86614,5.946,28.236,12982,14.792,9692,11.043,89409,6630,6822,48670,112072,180185,292257,20.064,7.694,126308,205643,79335,14.118,5.446,3347789,66.8,63.3,2236926,2118341,118585,5.3
Arizona,1996,1528623,74366,81625,5.34,27.932,13192,14.566,10046,11.092,92142,6968,7156,49559,110782,184333,295115,19.306,7.247,134740,213490,78750,13.966,5.152,3465028,66,62.4,2287146,2161444,125702,5.5
Arizona,1997,1626115,76534,89672,5.514,34.216,14464,15.441,11461,12.235,95174,7456,7629,51965,142208,225660,367868,22.623,8.745,163775,278196,114421,17.108,7.036,3584266,64.3,61.3,2304915,2198045,106870,4.6
Arizona,1998,1716817,77998,69897,4.071,31.176,12965,13.45,11214,11.633,97271,7404,7590,51453,125803,211708,337511,19.659,7.328,164753,267614,102861,15.588,5.991,3680505,64.9,62.1,2389188,2287247,101941,4.3
Arizona,1999,1782523,79515,67094,3.764,31.577,13838,14.045,11342,11.512,99774,7309,7578,56183,131020,217507,348527,19.552,7.35,173809,281433,107624,15.788,6.038,3767577,65.9,62.9,2482545,2371566,110979,4.5
Arizona,2000,1870916,80416,91289,4.879,30.009,13612,13.5,11608,11.512,101832,7643,7888,51306,130485,241527,372012,19.884,6.974,187120,280723,93603,15.005,5.003,3849206,65.2,62.6,2510611,2410825,99786,4
Arizona,2001,1930754,81606,18872,0.977,34.953,14001,13.647,12541,12.224,103322,7428,7670,52676,136101,220197,356298,18.454,7.049,193195,337426,144231,17.476,7.47,3953194,65.6,62.5,2593664,2470816,122848,4.7
Arizona,2002,1940740,82221,-11176,-0.576,39.906,14858,14.244,13120,12.578,105180,7854,8087,61872,158947,228291,387238,19.953,8.19,262047,398414,136367,20.529,7.027,4064603,66,62,2683502,2518051,165451,6.2
Arizona,2003,1957825,83822,38517,1.967,35.825,14484,13.648,12500,11.778,107120,7818,7945,53642,141103,248106,389209,19.88,7.207,216427,350692,134265,17.912,6.858,4174320,65.4,61.6,2728649,2571097,157552,5.8
Arizona,2004,2011556,86332,71829,3.571,29.961,14854,13.66,11693,10.753,110325,7407,7619,49895,129881,243287,373168,18.551,6.457,180911,301339,120428,14.98,5.987,4304036,64.8,61.6,2788618,2649564,139054,5
Arizona,2005,2106815,89498,115196,5.468,28.206,16331,14.502,11828,10.504,114861,7594,7838,49869,161445,250879,412324,19.571,7.663,195190,297128,101938,14.103,4.838,4465451,64.1,61.1,2862517,2729018,133499,4.7
