Year,Country_Code,Country_Name,Host_city,Host_country,Gold,Silver,Bronze,MedalTotal,Population,LifeExpectancy,Region,IncomeGroup,GDP
1964,DNK,Denmark,Tokyo,Japan,2,1,3,6,4722072.0,72.48512195,Europe & Central Asia,High income,
1964,YUG,Yugoslavia,Tokyo,Japan,2,1,2,5,,,,,
1964,BEL,Belgium,Tokyo,Japan,2,0,1,3,9378113.0,70.75512195,Europe & Central Asia,High income,
1964,FRA,France,Tokyo,Japan,1,8,6,15,48733997.0,70.66341463,Europe & Central Asia,High income,
1964,CAN,Canada,Tokyo,Japan,1,2,1,4,19325000.0,71.77634146,North America,High income,
1964,CHE,Switzerland,Tokyo,Japan,1,2,1,4,5789228.0,72.07780488,Europe & Central Asia,High income,
1964,BHS,Bahamas,Tokyo,Japan,1,0,0,1,138785.0,64.05,Latin America & Caribbean,High income,
1964,ETH,Ethiopia,Tokyo,Japan,1,0,0,1,24073696.0,42.275,Sub-Saharan Africa,Low income,
1964,IND,India,Tokyo,Japan,1,0,0,1,489059309.0,46.184,South Asia,Lower middle income,
1964,KOR,South Korea,Tokyo,Japan,0,2,1,3,27984155.0,57.17478049,East Asia & Pacific,High income,
1964,TTO,Trinidad and Tobago,Tokyo,Japan,0,1,2,3,913399.0,63.843,Latin America & Caribbean,High income,
1964,TUN,Tunisia,Tokyo,Japan,0,1,1,2,4389417.0,47.365,Middle East & North Africa,Lower middle income,
1964,ARG,Argentina,Tokyo,Japan,0,1,0,1,21708487.0,64.363,Latin America & Caribbean,Upper middle income,
1964,CUB,Cuba,Tokyo,Japan,0,1,0,1,7902286.0,65.905,Latin America & Caribbean,Upper middle income,
1964,PAK,Pakistan,Tokyo,Japan,0,1,0,1,50552592.0,48.595,South Asia,Lower middle income,
1964,PHL,Philippines,Tokyo,Japan,0,1,0,1,31916622.0,60.541,East Asia & Pacific,Lower middle income,
1964,IRN,Iran,Tokyo,Japan,0,0,2,2,23948624.0,46.196,Middle East & North Africa,Upper middle income,
1964,BRA,Brazil,Tokyo,Japan,0,0,1,1,82262794.0,54.648,Latin America & Caribbean,Upper middle income,
1964,GHA,Ghana,Tokyo,Japan,0,0,1,1,7640196.0,47.719,Sub-Saharan Africa,Lower middle income,
1964,IRL,Ireland,Tokyo,Japan,0,0,1,1,2866550.0,70.48992683,Europe & Central Asia,High income,
1964,KEN,Kenya,Tokyo,Japan,0,0,1,1,9047387.0,51.328,Sub-Saharan Africa,Lower middle income,
1964,MEX,Mexico,Tokyo,Japan,0,0,1,1,41333878.0,57.947,Latin America & Caribbean,Upper middle income,
1964,NGA,Nigeria,Tokyo,Japan,0,0,1,1,48856332.0,38.415,Sub-Saharan Africa,Lower middle income,
1964,URY,Uruguay,Tokyo,Japan,0,0,1,1,2652376.0,68.179,Latin America & Caribbean,High income,
1968,USA,United States,Mexico City,Mexico,45,28,34,107,200706000.0,69.95121951,North America,High income,
1968,RUS,Soviet Union,Mexico City,Mexico,29,32,30,91,128928000.0,67.48936585,Europe & Central Asia,High income,
1968,JPN,Japan,Mexico City,Mexico,11,7,7,25,101011000.0,71.61097561,East Asia & Pacific,High income,
1968,HUN,Hungary,Mexico City,Mexico,10,10,12,32,10255815.0,69.2302439,Europe & Central Asia,High income,
1968,DEU,East Germany,Mexico City,Mexico,9,9,7,25,77294314.0,70.37846341,Europe & Central Asia,High income,
1968,FRA,France,Mexico City,Mexico,7,3,5,15,50817020.0,71.3097561,Europe & Central Asia,High income,
1968,CZE,Czechoslovakia,Mexico City,Mexico,7,2,4,13,9876346.0,69.84073171,Europe & Central Asia,High income,
1968,DEU,West Germany,Mexico City,Mexico,5,11,10,26,77294314.0,70.37846341,Europe & Central Asia,High income,
1968,AUS,Australia,Mexico City,Mexico,5,7,5,17,12009000.0,70.91902439,East Asia & Pacific,High income,
1968,GBR,Great Britain,Mexico City,Mexico,5,5,3,13,55211700.0,71.72439024,Europe & Central Asia,High income,
1968,POL,Poland,Mexico City,Mexico,5,2,11,18,32294655.0,70.2195122,Europe & Central Asia,High income,
1968,ROU,Romania,Mexico City,Mexico,4,6,5,15,19799831.0,67.56036585,Europe & Central Asia,High income,
1968,ITA,Italy,Mexico City,Mexico,3,4,9,16,53235750.0,70.78,Europe & Central Asia,High income,
1968,KEN,Kenya,Mexico City,Mexico,3,4,2,9,10613877.0,52.781,Sub-Saharan Africa,Lower middle income,
1968,MEX,Mexico,Mexico City,Mexico,3,3,3,9,47170337.0,59.835,Latin America & Caribbean,Upper middle income,
1968,YUG,Yugoslavia,Mexico City,Mexico,3,3,2,8,,,,,
1968,NLD,Netherlands,Mexico City,Mexico,3,3,1,7,12729721.0,73.61268293,Europe & Central Asia,High income,
1968,BGR,Bulgaria,Mexico City,Mexico,2,4,3,9,8369603.0,71.22512195,Europe & Central Asia,High income,
1968,IRN,Iran,Mexico City,Mexico,2,1,2,5,26875302.0,48.136,Middle East & North Africa,Upper middle income,
1968,SWE,Sweden,Mexico City,Mexico,2,1,1,4,7912273.0,73.97292683,Europe & Central Asia,High income,
1968,TUR,Turkey,Mexico City,Mexico,2,0,0,2,33884075.0,55.835,Europe & Central Asia,Upper middle income,
1968,DNK,Denmark,Mexico City,Mexico,1,4,3,8,4864883.0,73.12146341,Europe & Central Asia,High income,
1968,CAN,Canada,Mexico City,Mexico,1,3,1,5,20744000.0,72.35341463,North America,High income,
1968,FIN,Finland,Mexico City,Mexico,1,2,1,4,4626469.0,69.61634146,Europe & Central Asia,High income,
1968,ETH,Ethiopia,Mexico City,Mexico,1,1,0,2,26778653.0,42.844,Sub-Saharan Africa,Low income,
1968,NOR,Norway,Mexico City,Mexico,1,1,0,2,3816486.0,73.94195122,Europe & Central Asia,High income,
1968,NZL,New Zealand,Mexico City,Mexico,1,0,2,3,2748100.0,71.12439024,East Asia & Pacific,High income,
1968,TUN,Tunisia,Mexico City,Mexico,1,0,1,2,4785003.0,51.573,Middle East & North Africa,Lower middle income,
1968,PAK,Pakistan,Mexico City,Mexico,1,0,0,1,56124743.0,52.898,South Asia,Lower middle income,
1968,VEN,Venezuela,Mexico City,Mexico,1,0,0,1,10672654.0,62.928,Latin America & Caribbean,,
1968,CUB,Cuba,Mexico City,Mexico,0,4,0,4,8550286.0,67.511,Latin America & Caribbean,Upper middle income,
1968,AUT,Austria,Mexico City,Mexico,0,2,2,4,7415403.0,70.05756098,Europe & Central Asia,High income,
1968,CHE,Switzerland,Mexico City,Mexico,0,1,4,5,6067714.0,72.5902439,Europe & Central Asia,High income,
1968,MNG,Mongolia,Mexico City,Mexico,0,1,3,4,1230406.0,51.457,East Asia & Pacific,Upper middle income,
1968,BRA,Brazil,Mexico City,Mexico,0,1,2,3,91659246.0,56.31,Latin America & Caribbean,Upper middle income,
1968,BEL,Belgium,Mexico City,Mexico,0,1,1,2,9618756.0,70.69317073,Europe & Central Asia,High income,
1968,KOR,South Korea,Mexico City,Mexico,0,1,1,2,30838302.0,61.559,East Asia & Pacific,High income,
1968,UGA,Uganda,Mexico City,Mexico,0,1,1,2,9696370.0,49.213,Sub-Saharan Africa,Low income,
1968,CMR,Cameroon,Mexico City,Mexico,0,1,0,1,6127193.0,45.978,Sub-Saharan Africa,Lower middle income,
1968,JAM,Jamaica,Mexico City,Mexico,0,1,0,1,1812209.0,66.265,Latin America & Caribbean,Upper middle income,
1968,ARG,Argentina,Mexico City,Mexico,0,0,2,2,23112971.0,64.89,Latin America & Caribbean,Upper middle income,
1968,GRC,Greece,Mexico City,Mexico,0,0,1,1,8740765.0,71.43019512,Europe & Central Asia,High income,
1968,IND,India,Mexico City,Mexico,0,0,1,1,533431909.0,47.471,South Asia,Lower middle income,
1968,TPE,Republic of China,Mexico City,Mexico,0,0,1,1,,,,,
1972,RUS,Soviet Union,Munich,West Germany,50,27,22,99,131909000.0,68.30853659,Europe & Central Asia,High income,
1972,USA,United States,Munich,West Germany,33,31,30,94,209896000.0,71.15609756,North America,High income,
1972,DEU,East Germany,Munich,West Germany,20,23,23,66,78688452.0,70.90670732,Europe & Central Asia,High income,
1972,DEU,West Germany,Munich,West Germany,13,11,16,40,78688452.0,70.90670732,Europe & Central Asia,High income,
1972,JPN,Japan,Munich,West Germany,13,8,8,29,107188000.0,73.15365854,East Asia & Pacific,High income,
1972,AUS,Australia,Munich,West Germany,8,7,2,17,13177000.0,71.45756098,East Asia & Pacific,High income,
1972,POL,Poland,Munich,West Germany,7,5,9,21,33055650.0,70.66585366,Europe & Central Asia,High income,
1972,HUN,Hungary,Munich,West Germany,6,13,16,35,10398489.0,69.66463415,Europe & Central Asia,High income,
1972,BGR,Bulgaria,Munich,West Germany,6,10,5,21,8576200.0,70.8995122,Europe & Central Asia,High income,
1972,ITA,Italy,Munich,West Germany,5,3,10,18,54381345.0,72.07536585,Europe & Central Asia,High income,
1972,SWE,Sweden,Munich,West Germany,4,6,6,16,8122300.0,74.71804878,Europe & Central Asia,High income,
1972,GBR,Great Britain,Munich,West Germany,4,5,9,18,56086065.0,72.12439024,Europe & Central Asia,High income,
1972,ROU,Romania,Munich,West Germany,3,6,7,16,20657957.0,68.4702439,Europe & Central Asia,High income,
1972,CUB,Cuba,Munich,West Germany,3,1,4,8,9169289.0,69.462,Latin America & Caribbean,Upper middle income,
1972,FIN,Finland,Munich,West Germany,3,1,4,8,4639657.0,70.70731707,Europe & Central Asia,High income,
1972,NLD,Netherlands,Munich,West Germany,3,1,1,5,13328593.0,73.72707317,Europe & Central Asia,High income,
1972,FRA,France,Munich,West Germany,2,4,7,13,52637888.0,72.10731707,Europe & Central Asia,High income,
1972,CZE,Czechoslovakia,Munich,West Germany,2,4,2,8,9867632.0,70.17658537,Europe & Central Asia,High income,
1972,KEN,Kenya,Munich,West Germany,2,3,4,9,12322903.0,55.012,Sub-Saharan Africa,Lower middle income,
1972,YUG,Yugoslavia,Munich,West Germany,2,1,2,5,,,,,
1972,NOR,Norway,Munich,West Germany,2,1,1,4,3933004.0,74.34463415,Europe & Central Asia,High income,
1972,PRK,North Korea,Munich,West Germany,1,1,3,5,15768363.0,61.807,East Asia & Pacific,Low income,
1972,NZL,New Zealand,Munich,West Germany,1,1,1,3,2903900.0,71.82926829,East Asia & Pacific,High income,
1972,UGA,Uganda,Munich,West Germany,1,1,0,2,10885563.0,46.967,Sub-Saharan Africa,Low income,
1972,DNK,Denmark,Munich,West Germany,1,0,0,1,4991596.0,73.43902439,Europe & Central Asia,High income,
1972,CHE,Switzerland,Munich,West Germany,0,3,0,3,6260956.0,73.64439024,Europe & Central Asia,High income,
1972,CAN,Canada,Munich,West Germany,0,2,3,5,22218463.0,72.93390244,North America,High income,
1972,IRN,Iran,Munich,West Germany,0,2,1,3,30111574.0,51.659,Middle East & North Africa,Upper middle income,
1972,BEL,Belgium,Munich,West Germany,0,2,0,2,9711115.0,71.40512195,Europe & Central Asia,High income,
1972,GRC,Greece,Munich,West Germany,0,2,0,2,8888628.0,72.78268293,Europe & Central Asia,High income,
1972,AUT,Austria,Munich,West Germany,0,1,2,3,7544201.0,70.46341463,Europe & Central Asia,High income,
1972,COL,Colombia,Munich,West Germany,0,1,2,3,21898055.0,62.569,Latin America & Caribbean,Upper middle income,
1972,ARG,Argentina,Munich,West Germany,0,1,0,1,24612794.0,65.923,Latin America & Caribbean,Upper middle income,
1972,LBN,Lebanon,Munich,West Germany,0,1,0,1,2505965.0,66.907,Middle East & North Africa,Lower middle income,
1972,MEX,Mexico,Munich,West Germany,0,1,0,1,53543436.0,61.614,Latin America & Caribbean,Upper middle income,
1972,MNG,Mongolia,Munich,West Germany,0,1,0,1,1363835.0,54.016,East Asia & Pacific,Upper middle income,
1972,PAK,Pakistan,Munich,West Germany,0,1,0,1,62509565.0,55.239,South Asia,Lower middle income,
1972,KOR,South Korea,Munich,West Germany,0,1,0,1,33505406.0,63.0097561,East Asia & Pacific,High income,
1972,TUN,Tunisia,Munich,West Germany,0,1,0,1,5320148.0,56.107,Middle East & North Africa,Lower middle income,
1972,TUR,Turkey,Munich,West Germany,0,1,0,1,37188035.0,58.069,Europe & Central Asia,Upper middle income,
1972,BRA,Brazil,Munich,West Germany,0,0,2,2,101194394.0,58.032,Latin America & Caribbean,Upper middle income,
1972,ETH,Ethiopia,Munich,West Germany,0,0,2,2,29891328.0,41.55,Sub-Saharan Africa,Low income,
1972,GHA,Ghana,Munich,West Germany,0,0,1,1,9365952.0,48.026,Sub-Saharan Africa,Lower middle income,
1972,IND,India,Munich,West Germany,0,0,1,1,582837973.0,49.025,South Asia,Lower middle income,
1972,JAM,Jamaica,Munich,West Germany,0,0,1,1,1915299.0,67.102,Latin America & Caribbean,Upper middle income,
1972,NER,Niger,Munich,West Germany,0,0,1,1,4926318.0,35.632,Sub-Saharan Africa,Low income,
1972,NGA,Nigeria,Munich,West Germany,0,0,1,1,58173834.0,41.273,Sub-Saharan Africa,Lower middle income,
1972,ESP,Spain,Munich,West Germany,0,0,1,1,34604469.0,72.81804878,Europe & Central Asia,High income,
1976,RUS,Soviet Union,Montreal,Canada,49,41,35,125,135147000.0,67.48756098,Europe & Central Asia,High income,
1976,DEU,East Germany,Montreal,Canada,40,25,25,90,78336950.0,71.71221951,Europe & Central Asia,High income,
1976,USA,United States,Montreal,Canada,34,35,25,94,218035000.0,72.85609756,North America,High income,
1976,DEU,West Germany,Montreal,Canada,10,12,17,39,78336950.0,71.71221951,Europe & Central Asia,High income,
1976,JPN,Japan,Montreal,Canada,9,6,10,25,112775000.0,74.68658537,East Asia & Pacific,High income,
1976,POL,Poland,Montreal,Canada,7,6,13,26,34356300.0,70.65609756,Europe & Central Asia,High income,
1976,BGR,Bulgaria,Montreal,Canada,6,9,7,22,8758599.0,71.39487805,Europe & Central Asia,High income,
1976,CUB,Cuba,Montreal,Canada,6,4,3,13,9600862.0,71.524,Latin America & Caribbean,Upper middle income,
1976,ROU,Romania,Montreal,Canada,4,9,14,27,21551634.0,69.69878049,Europe & Central Asia,High income,
1976,HUN,Hungary,Montreal,Canada,4,5,13,22,10598677.0,69.57317073,Europe & Central Asia,High income,
1976,FIN,Finland,Montreal,Canada,4,2,0,6,4725664.0,71.81292683,Europe & Central Asia,High income,
1976,SWE,Sweden,Montreal,Canada,4,1,0,5,8222286.0,74.96926829,Europe & Central Asia,High income,
1976,GBR,Great Britain,Montreal,Canada,3,5,5,13,56211968.0,72.77560976,Europe & Central Asia,High income,
1976,ITA,Italy,Montreal,Canada,2,7,4,13,55718260.0,72.99195122,Europe & Central Asia,High income,
1976,FRA,France,Montreal,Canada,2,3,4,9,53966558.0,73.10243902,Europe & Central Asia,High income,
1976,YUG,Yugoslavia,Montreal,Canada,2,3,3,8,,,,,
1976,CZE,Czechoslovakia,Montreal,Canada,2,2,4,8,10125939.0,70.53268293,Europe & Central Asia,High income,
1976,NZL,New Zealand,Montreal,Canada,2,1,1,4,3110500.0,72.42195122,East Asia & Pacific,High income,
1976,KOR,South Korea,Montreal,Canada,1,1,4,6,35848523.0,64.50243902,East Asia & Pacific,High income,
1976,CHE,Switzerland,Montreal,Canada,1,1,2,4,6302504.0,74.78536585,Europe & Central Asia,High income,
1976,JAM,Jamaica,Montreal,Canada,1,1,0,2,2029486.0,68.425,Latin America & Caribbean,Upper middle income,
1976,PRK,North Korea,Montreal,Canada,1,1,0,2,16987170.0,64.143,East Asia & Pacific,Low income,
1976,NOR,Norway,Montreal,Canada,1,1,0,2,4026152.0,75.0395122,Europe & Central Asia,High income,
1976,DNK,Denmark,Montreal,Canada,1,0,2,3,5072596.0,73.7397561,Europe & Central Asia,High income,
1976,MEX,Mexico,Montreal,Canada,1,0,1,2,60452543.0,63.123,Latin America & Caribbean,Upper middle income,
1976,TTO,Trinidad and Tobago,Montreal,Canada,1,0,0,1,1067696.0,66.273,Latin America & Caribbean,High income,
1976,CAN,Canada,Montreal,Canada,0,5,6,11,23449808.0,73.85609756,North America,High income,
1976,BEL,Belgium,Montreal,Canada,0,3,3,6,9818227.0,72.1197561,Europe & Central Asia,High income,
1976,NLD,Netherlands,Montreal,Canada,0,2,3,5,13774037.0,74.64707317,Europe & Central Asia,High income,
1976,PRT,Portugal,Montreal,Canada,0,2,0,2,9355810.0,68.86097561,Europe & Central Asia,High income,
1976,ESP,Spain,Montreal,Canada,0,2,0,2,36137812.0,73.64268293,Europe & Central Asia,High income,
1976,AUS,Australia,Montreal,Canada,0,1,4,5,14033000.0,73.01463415,East Asia & Pacific,High income,
1976,IRN,Iran,Montreal,Canada,0,1,1,2,33841060.0,55.7,Middle East & North Africa,Upper middle income,
1976,MNG,Mongolia,Montreal,Canada,0,1,0,1,1529084.0,55.432,East Asia & Pacific,Upper middle income,
1976,VEN,Venezuela,Montreal,Canada,0,1,0,1,13566112.0,67.554,Latin America & Caribbean,,
1976,BRA,Brazil,Montreal,Canada,0,0,2,2,111286504.0,59.792,Latin America & Caribbean,Upper middle income,
1976,AUT,Austria,Montreal,Canada,0,0,1,1,7565525.0,71.56585366,Europe & Central Asia,High income,
1976,BMU,Bermuda,Montreal,Canada,0,0,1,1,53200.0,71.862,North America,High income,
1976,PAK,Pakistan,Montreal,Canada,0,0,1,1,70230923.0,56.113,South Asia,Lower middle income,
1976,PRI,Puerto Rico,Montreal,Canada,0,0,1,1,3043854.0,72.262,Latin America & Caribbean,High income,
1976,THA,Thailand,Montreal,Canada,0,0,1,1,41882128.0,61.978,East Asia & Pacific,Upper middle income,
1980,RUS,Soviet Union,Moscow,Soviet Union,80,69,46,195,139010000.0,67.03390244,Europe & Central Asia,High income,
1980,DEU,East Germany,Moscow,Soviet Union,47,37,42,126,78288576.0,72.80031707,Europe & Central Asia,High income,
1980,BGR,Bulgaria,Moscow,Soviet Union,8,16,17,41,8861535.0,71.15756098,Europe & Central Asia,High income,
1980,CUB,Cuba,Moscow,Soviet Union,8,7,5,20,9809107.0,72.752,Latin America & Caribbean,Upper middle income,
1980,ITA,Italy,Moscow,Soviet Union,8,3,4,15,56433883.0,73.94317073,Europe & Central Asia,High income,
1980,HUN,Hungary,Moscow,Soviet Union,7,10,15,32,10711122.0,69.06170732,Europe & Central Asia,High income,
1980,ROU,Romania,Moscow,Soviet Union,6,6,13,25,22207282.0,69.09097561,Europe & Central Asia,High income,
1980,FRA,France,Moscow,Soviet Union,6,5,3,14,55052582.0,74.05121951,Europe & Central Asia,High income,
1980,GBR,Great Britain,Moscow,Soviet Union,5,7,9,21,56314216.0,73.67560976,Europe & Central Asia,High income,
1980,POL,Poland,Moscow,Soviet Union,3,14,15,32,35574150.0,70.09756098,Europe & Central Asia,High income,
1980,SWE,Sweden,Moscow,Soviet Union,3,3,6,12,8310531.0,75.74097561,Europe & Central Asia,High income,
1980,FIN,Finland,Moscow,Soviet Union,3,1,4,8,4779535.0,73.44,Europe & Central Asia,High income,
1980,CZE,Czechoslovakia,Moscow,Soviet Union,2,3,9,14,10304193.0,70.27804878,Europe & Central Asia,High income,
1980,YUG,Yugoslavia,Moscow,Soviet Union,2,3,4,9,,,,,
1980,AUS,Australia,Moscow,Soviet Union,2,2,5,9,14692000.0,74.33365854,East Asia & Pacific,High income,
1980,DNK,Denmark,Moscow,Soviet Union,2,1,2,5,5123027.0,74.10170732,Europe & Central Asia,High income,
1980,BRA,Brazil,Moscow,Soviet Union,2,0,2,4,122288383.0,61.781,Latin America & Caribbean,Upper middle income,
1980,ETH,Ethiopia,Moscow,Soviet Union,2,0,2,4,34945469.0,43.217,Sub-Saharan Africa,Low income,
1980,CHE,Switzerland,Moscow,Soviet Union,2,0,0,2,6319408.0,75.45926829,Europe & Central Asia,High income,
1980,ESP,Spain,Moscow,Soviet Union,1,3,2,6,37491165.0,75.34926829,Europe & Central Asia,High income,
1980,AUT,Austria,Moscow,Soviet Union,1,2,1,4,7549433.0,72.46341463,Europe & Central Asia,High income,
1980,GRC,Greece,Moscow,Soviet Union,1,0,2,3,9642505.0,74.54626829,Europe & Central Asia,High income,
1980,BEL,Belgium,Moscow,Soviet Union,1,0,0,1,9859242.0,73.20707317,Europe & Central Asia,High income,
1980,IND,India,Moscow,Soviet Union,1,0,0,1,696828385.0,53.611,South Asia,Lower middle income,
1980,ZWE,Zimbabwe,Moscow,Soviet Union,1,0,0,1,7049926.0,58.674,Sub-Saharan Africa,Lower middle income,
1980,PRK,North Korea,Moscow,Soviet Union,0,3,2,5,17973650.0,66.158,East Asia & Pacific,Low income,
1980,MNG,Mongolia,Moscow,Soviet Union,0,2,2,4,1697780.0,55.64,East Asia & Pacific,Upper middle income,
1980,TZA,Tanzania,Moscow,Soviet Union,0,2,0,2,19297659.0,51.201,Sub-Saharan Africa,Lower middle income,
1980,MEX,Mexico,Moscow,Soviet Union,0,1,3,4,67705186.0,64.703,Latin America & Caribbean,Upper middle income,
1980,NLD,Netherlands,Moscow,Soviet Union,0,1,2,3,14149800.0,75.74317073,Europe & Central Asia,High income,
1980,IRL,Ireland,Moscow,Soviet Union,0,1,1,2,3412800.0,72.59541463,Europe & Central Asia,High income,
1980,UGA,Uganda,Moscow,Soviet Union,0,1,0,1,13284026.0,42.949,Sub-Saharan Africa,Low income,
